"atr1" "atr2" "klasa"
"1" 96 7 "3"
"2" 94 7 "3"
"3" 93 8 "3"
"4" 93 14 "3"
"5" 98 19 "3"
"6" 98 19 "3"
"7" 97 23 "3"
"8" 98 30 "3"
"9" 88 22 "3"
"10" 92 27 "3"
"11" 87 14 "3"
"12" 86 9 "3"
"13" 84 8 "3"
"14" 85 6 "3"
"15" 86 4 "3"
"16" 90 4 "3"
"17" 97 12 "3"
"18" 96 16 "3"
"19" 94 27 "3"
"20" 93 27 "3"
"21" 95 23 "3"
"22" 92 22 "3"
"23" 89 19 "3"
"24" 91 18 "3"
"25" 94 17 "3"
"26" 95 7 "3"
"27" 92 5 "3"
"28" 89 7 "3"
"29" 92 11 "3"
"30" 91 13 "3"
"31" 89 12 "3"
"32" 87 12 "3"
"33" 88 7 "3"
"34" 64 8 "1"
"35" 88 40 "1"
"36" 98 66 "1"
"37" 80 22 "1"
"38" 90 100 "1"
"39" 84 120 "1"
"40" 69 121 "1"
"41" 77 111 "1"
"42" 81 87 "1"
"43" 77 56 "1"
"44" 60 46 "1"
"45" 67 29 "1"
"46" 54 14 "1"
"47" 45 26 "1"
"48" 38 59 "1"
"49" 46 57 "1"
"50" 65 68 "1"
"51" 63 98 "1"
"52" 56 123 "1"
"53" 47 108 "1"
"54" 51 85 "1"
"55" 29 72 "1"
"56" 35 40 "1"
"57" 34 10 "1"
"58" 14 12 "1"
"59" 26 33 "1"
"60" 36 79 "1"
"61" 26 59 "1"
"62" 15 34 "1"
"63" 21 128 "2"
"64" 13 127 "2"
"65" 3 128 "2"
"66" 6 125 "2"
"67" 12 129 "2"
"68" 16 125 "2"
"69" 28 125 "2"
"70" 28 127 "2"
"71" 31 117 "2"
"72" 41 124 "2"
"73" 46 130 "2"
"74" 40 118 "2"
"75" 39 114 "2"
"76" 38 111 "2"
"77" 35 109 "2"
"78" 18 77 "2"
"79" 16 71 "2"
"80" 10 63 "2"
"81" 10 63 "2"
"82" 9 62 "2"
"83" 6 59 "2"
"84" 4 49 "2"
"85" 5 40 "2"
"86" 7 45 "2"
"87" 10 53 "2"
"88" 8 56 "2"
"89" 6 53 "2"
"90" 4 51 "2"
"91" 5 50 "2"
"92" 5 47 "2"
"93" 4 36 "2"
"94" 9 48 "2"
"95" 11 63 "2"
"96" 16 75 "2"
"97" 20 89 "2"
"98" 22 92 "2"
"99" 23 104 "2"
"100" 25 111 "2"
"101" 26 121 "2"
"102" 18 120 "2"
"103" 5 116 "2"
"104" 6 107 "2"
"105" 12 114 "2"
"106" 5 116 "2"
"107" 8 119 "2"
"108" 11 119 "2"
"109" 13 120 "2"
"110" 19 122 "2"
"111" 27 118 "2"
"112" 37 113 "2"
"113" 33 111 "2"
"114" 33 111 "2"
"115" 33 109 "2"
"116" 30 107 "2"
"117" 29 113 "2"
"118" 25 115 "2"
"119" 23 100 "2"
"120" 28 99 "2"
"121" 30 103 "2"
"122" 21 114 "2"
"123" 19 117 "2"
"124" 10 115 "2"
"125" 13 110 "2"
"126" 19 105 "2"
"127" 19 109 "2"
"128" 15 108 "2"
"129" 10 110 "2"
"130" 3 107 "2"
"131" 6 101 "2"
"132" 12 100 "2"
"133" 17 99 "2"
"134" 27 107 "2"
"135" 24 102 "2"
"136" 13 102 "2"
"137" 10 102 "2"
"138" 15 104 "2"
"139" 22 101 "2"
"140" 28 98 "2"
"141" 36 122 "2"
"142" 34 101 "2"
"143" 25 90 "2"
"144" 27 92 "2"
"145" 32 94 "2"
"146" 25 90 "2"
"147" 25 90 "2"
"148" 22 84 "2"
"149" 20 80 "2"
"150" 12 72 "2"
"151" 10 70 "2"
"152" 7 70 "2"
"153" 7 70 "2"
"154" 8 66 "2"
"155" 8 64 "2"
"156" 6 63 "2"
"157" 3 62 "2"
"158" 4 58 "2"
"159" 5 60 "2"
"160" 4 67 "2"
"161" 10 70 "2"
"162" 14 75 "2"
"163" 15 77 "2"
"164" 13 79 "2"
"165" 6 67 "2"
"166" 9 67 "2"
"167" 11 72 "2"
"168" 16 83 "2"
"169" 17 91 "2"
"170" 19 92 "2"
"171" 21 94 "2"
"172" 26 94 "2"
"173" 11 91 "2"
"174" 15 93 "2"
"175" 15 97 "2"
"176" 13 96 "2"
"177" 10 95 "2"
"178" 9 94 "2"
"179" 4 90 "2"
"180" 7 93 "2"
"181" 6 94 "2"
"182" 3 86 "2"
"183" 6 79 "2"
"184" 8 82 "2"
"185" 4 77 "2"
